name,type,state,county,city,zip
Fort Bend County Sheriff's Office,Sheriff's office,TX,Fort Bend,Richmond,77469
Columbus Police Department,Local police department,GA,Muscogee,Columbus,31902
Anaheim Police Department,Local police department,CA,Orange,Anaheim,92805
Camden Police,Local police department,NJ,Camden,Camden,08103
Greenville County Sheriff's Office,Sheriff's office,SC,Greenville,Greenville,29601
Ohio Department of Natural Resources - Office of Law Enforcement,Special jurisdiction,OH,Franklin,Columbus,43229
Summit County Sheriff's Office,Sheriff's office,OH,Summit,Akron,44308
Navajo Nation Tribal Department of Law Enforcement,Local police department,AZ,Apache,Window Rock,86515
Osceola County Sheriff's Office,Sheriff's office,FL,Osceola,Kissimmee,34744
Escambia County Sheriff's Office,Sheriff's office,FL,Escambia,Pensacola,32501
Du Page County Sheriff's Office,Sheriff's office,IL,Du Page,Wheaton,60187
Des Moines Police Department,Local police department,IA,Polk,Des Moines,50309
Riverside Police Department,Local police department,CA,Riverside,Riverside,92501
Charleston Police Department,Local police department,SC,Charleston,Charleston,29403
Chesapeake Police Department,Local police department,VA,Chesapeake City,Chesapeake,23322
Lubbock Police Department,Local police department,TX,Lubbock,Lubbock,79457
Atlantic City Police,Local police department,NJ,Atlantic,Atlantic City,08401
Knoxville Police Department,Local police department,TN,Knox,Knoxville,37927
Miami Beach Police Department,Local police department,FL,Miami-Dade,Miami Beach,33139
Anchorage Police Department,Local police department,AK,Anchorage,Anchorage,99507
Tacoma Police Department,Local police department,WA,Pierce,Tacoma,98409
Santa Ana Police Department,Local police department,CA,Orange,Santa Ana,92701
Washington County Sheriff's Office,Sheriff's office,OR,Washington,Hillsboro,97123
Lafayette Parish Sheriff's Office,Sheriff's office,LA,Lafayette,Lafayette,70501
North Carolina State Bureau of Investigation,Special jurisdiction,NC,Wake,Raleigh,27626
Adams County Sheriff's Office,Sheriff's office,CO,Adams,Brighton,80601
Arlington County Police Department,Local police department,VA,Arlington,Arlington,22201
Tallahassee Police Department,Local police department,FL,Leon,Tallahassee,32303
Reno Police Department,Local police department,NV,Washoe,Reno,89505
East Baton Rouge Parish Sheriff's Office,Sheriff's office,LA,East Baton Rouge,Baton Rouge,70821
Chesapeake (City) Sheriff's Office,Sheriff's office,VA,Chesapeake City,Chesapeake,23322
