name,type,state,county,city,zip
St. Lucie County Sheriff's Office,Sheriff's office,FL,St. Lucie,Fort Pierce,34981
Overland Park Police Department,Local police department,KS,Johnson,Overland Park,66213
Okaloosa County Sheriff's Office,Sheriff's office,FL,Okaloosa,Shalimar,32579
Hall County Sheriff's Office,Sheriff's office,GA,Hall,Gainesville,30501
SEPTA Transit Police,Special jurisdiction,PA,Philadelphia,Philadelphia,19107
Waterbury Police Department,Local police department,CT,New Haven,Waterbury,06702
MBTA Transit Police,Special jurisdiction,MA,Suffolk,Boston,02118
South Bend Police,Local police department,IN,St. Joseph,South Bend,46601
Marion County Sheriff's Office,Sheriff's office,OR,Marion,Salem,97301
Clearwater Police Department,Local police department,FL,Pinellas,Clearwater,33756
Barnstable County Sheriff's Office,Sheriff's office,MA,Barnstable,Bourne,02532
Forsyth County Sheriff's Office,Sheriff's office,GA,Forsyth,Cumming,30040
Sonoma County Sheriff's Office,Sheriff's office,CA,Sonoma,Santa Rosa,95403
Washington State Parks and Recreation Commission,Special jurisdiction,WA,Thurston,Olympia,95804
Concordia Parish Sheriff's Office,Sheriff's office,LA,Concordia,Vidalia,71373
Daytona Beach Police Department,Local police department,FL,Volusia,Daytona Beach,32114
Hernando County Sheriff's Office,Sheriff's office,FL,Hernando,Brooksville,34603
Lexington County Sheriff's Office,Sheriff's office,SC,Lexington,Lexington,29071
El Paso County Sheriff's Office,Sheriff's office,TX,El Paso,El Paso,79938
Beaumont Police Department,Local police department,TX,Jefferson,Beaumont,77704
Waco Police Department,Local police department,TX,McLennan,Waco,76701
Peoria Police Dept,Local police department,IL,Peoria,Peoria,61602
Pasadena Police Department,Local police department,CA,Los Angeles,Pasadena,91101
Macomb County Sheriff's Office,Sheriff's office,MI,Macomb,Mount Clemens,48043
Port St. Lucie Police Department,Local police department,FL,St. Lucie,Port St. Lucie,34984
Kalamazoo Dept of Public Safety,Local police department,MI,Kalamazoo,Kalamazoo,49001
Chula Vista Police Department,Local police department,CA,San Diego,Chula Vista,91910
Spokane County Sheriff's Office,Sheriff's office,WA,Spokane,Spokane,99260
Horry County Police Department,Local police department,SC,Horry,Conway,29526
Gary Police,Local police department,IN,Lake,Gary,46402
Lafayette Police Department,Local police department,LA,Lafayette,Lafayette,70502
Iberia Parish Sheriff's Office,Sheriff's office,LA,Iberia,New Iberia,70560
Onondaga County Sheriff's Office,Sheriff's office,NY,Onondaga,Syracuse,13202
Lansing Police Department,Local police department,MI,Ingham,Lansing,48933
Harris County Constable Pct. 1,Constable/marshal,TX,Harris,Houston,77002
Guilford County Sheriff's Office,Sheriff's office,NC,Guilford,Greensboro,27402
Galveston County Sheriff's Office,Sheriff's office,TX,Galveston,Galveston,77551
Lowell Police Department,Local police department,MA,Middlesex,Lowell,01852
Jefferson County Sheriff's Office,Sheriff's office,KY,Jefferson,Louisville,40202
Clarksville Police Department,Local police department,TN,Montgomery,Clarksville,37040
Pembroke Pines Police Department,Local police department,FL,Broward,Pembroke Pines,33024
South Carolina Department of Natural Resources,Special jurisdiction,SC,Richland,Columbia,29202
Fall River Police Department,Local police department,MA,Bristol,Fall River,02721
Tulsa County Sheriff's Office,Sheriff's office,OK,Tulsa,Tulsa,74103
Dallas/Fort Worth International Airport D.P.S.,Special jurisdiction,TX,Dallas,D/Fw Airport,75261
Portsmouth Police Department,Local police department,VA,Portsmouth City,Portsmouth,23704
Torrance Police Department,Local police department,CA,Los Angeles,Torrance,90503
Ramsey County Sheriff's Office,Sheriff's office,MN,Ramsey,Saint Paul,55101
Prince George's County Sheriff's Office,Sheriff's office,MD,Prince Georges,Upper Marlboro,20773
Hampton Police Department,Local police department,VA,Hampton City,Hampton,23669
Chatham County Sheriff's Office,Sheriff's office,GA,Chatham,Savannah,31405
Buncombe County Sheriff's Office,Sheriff's office,NC,Buncombe,Asheville,28801
Warren Police Department,Local police department,MI,Macomb,Warren,48093
Brownsville Police Department,Local police department,TX,Cameron,Brownsville,78520
Mississippi Department of Wildlife,Special jurisdiction,MS,Hinds,,
Stanislaus County Sheriff's Office,Sheriff's office,CA,Stanislaus,Modesto,95358
Ontario Police Department,Local police department,CA,San Bernardino,Ontario,91761
Oxnard Police Department,Local police department,CA,Ventura,Oxnard,93030
Placer County Sheriff's Office,Sheriff's office,CA,Placer,Auburn,95603
Muscogee County Sheriff's Office,Sheriff's office,GA,Muscogee,Columbus,31902
Gilbert Police Department,Local police department,AZ,Maricopa,Gilbert,85296
Lakeland Police Department,Local police department,FL,Polk,Lakeland,33801
Mesquite Police Department,Local police department,TX,Dallas,Mesquite,75149
Indian River County Sheriff's Office,Sheriff's office,FL,Indian River,Verobeach,32960
High Point Police Department,Local police department,NC,Guilford,High Point,27260
Henry County Police Department,Local police department,GA,Henry,McDonough,30253
Chesterfield County Sheriff's Office,Sheriff's office,VA,Chesterfield,Chesterfield,23832
Citrus County Sheriff's Office,Sheriff's office,FL,Citrus,Inverness,34450
Maryland Natural Resources Police,Special jurisdiction,MD,Anne Arundel,Annapolis,21401
Denton County Sheriff's Office,Sheriff's office,TX,Denton,Denton,76205
Douglas County Sheriff's Office,Sheriff's office,GA,Douglas,Douglasville,30134
Grand Prairie Police Department,Local police department,TX,Dallas,Grand Prairie,75051
Huntington Beach Police Department,Local police department,CA,Orange,Huntington Beach,92648
Montgomery County Sheriff's Office,Sheriff's office,OH,Montgomery,Dayton,45401
Sioux Falls Police Department,Local police department,SD,Minnehaha,Sioux Falls,57104
Hudson County Sheriff's Office,Sheriff's office,NJ,Hudson,Jersey City,07306
Cape Coral Police Department,Local police department,FL,Lee,Cape Coral,33990
California DMV,Special jurisdiction,CA,Sacramento,,
Manchester Police Department,Local police department,NH,Hillsborough,Manchester,03101
Montana Highway Patrol,Primary state law enforcement agency,MT,Lewis and Clark,Helena,59601
Pinal County Sheriff's Office,Sheriff's office,AZ,Pinal,Florence,85232
Forsyth County Sheriff's Office,Sheriff's office,NC,Forsyth,Winston Salem,27101
Broome County Sheriff's Office,Sheriff's office,NY,Broome,Binghamton,13905
Hanover County Sheriff's Office,Sheriff's office,VA,Hanover,Hanover,23069
Murfreesboro Police Department,Local police department,TN,Rutherford,Murfreesboro,37130
Bay County Sheriff's Office,Sheriff's office,FL,Bay,Panama City,32405
Athens-Clarke County Police Dept,Local police department,GA,Clarke,Athens,30605
Bayonne Police,Local police department,NJ,Hudson,Bayonne,07002
Asheville Police Department,Local police department,NC,Buncombe,Asheville,28802
Rapides Parish Sheriff's Office,Sheriff's office,LA,Rapides,Alexandria,71309
Arlington County Sheriff's Office,Sheriff's office,VA,Arlington,Arlington,22201
Sunnyvale Department of Public Safety,Local police department,CA,Santa Clara,Sunnyvale,94088
Hammond Police,Local police department,IN,Lake,Hammond,46320
White Plains Police Department,Local police department,NY,Westchester,White Plains,10601
Miami-Dade School Police Department,Special jurisdiction,FL,Miami-Dade,Miami,33127
Oceanside Police Department,Local police department,CA,San Diego,Oceanside,92054
Philadelphia County Sheriff's Office,Sheriff's office,PA,Philadelphia,Philadelphia,19110
North Carolina Wildlife Resources Commission,Special jurisdiction,NC,Wake,Raleigh,27699
Tennessee Dept. of Environment Conservation - Park Rangers,Special jurisdiction,TN,Davidson,Nashville,37243
Beaufort County Sheriff's Office,Sheriff's office,SC,Beaufort,Beaufort,29902
Georgia Department of Natural Resources - Wildlife Resource Div.,Special jurisdiction,GA,Walton,Social Circle,30025
Woodbridge Police,Local police department,NJ,Middlesex,Woodbridge,07095
Independence Police Department,Local police department,MO,Jackson,Independence,64051
Columbia County Sheriff's Office,Sheriff's office,GA,Columbia,Appling,30802
Williamson County Sheriff's Office,Sheriff's office,TX,Williamson,Georgetown,78626
Metropolitan Washington Airports Authority Police,Special jurisdiction,VA,Arlington,Arlington,22202
Quincy Police Department,Local police department,MA,Norfolk,Quincy,02169
Santa Monica Police Department,Local police department,CA,Los Angeles,Santa Monica,90401
Roanoke (City) Sheriff's Office,Sheriff's office,VA,Roanoke City,Roanoke,24016
Mount Vernon Police Department,Local police department,NY,Westchester,Mount Vernon,10550
Wyoming Highway Patrol,Primary state law enforcement agency,WY,Laramie,Cheyenne,82009
Flint Police Department,Local police department,MI,Genesee,Flint,48502
Jackson Police Department,Local police department,TN,Madison,Jackson,38301
Kent County Sheriff's Office,Sheriff's office,MI,Kent,Grand Rapids,49503
Missouri Dept. of Conservation,Special jurisdiction,MO,Cole,Jefferson City,65109
Reading Police Department,Local police department,PA,Berks,Reading,19601
Allegheny County Police Department.,Local police department,PA,Allegheny,Pittsburgh,15208
Marin County Sheriff's Office,Sheriff's office,CA,Marin,San Rafael,94903
Coral Springs Police Department,Local police department,FL,Broward,Coral Springs,33065
Wilson County Sheriff's Office,Sheriff's office,TN,Wilson,Lebanon,37087
Indiana Department of Natural Resources,Special jurisdiction,IN,Marion,Indianapolis,46204
New Jersey Transit Police,Special jurisdiction,NJ,Essex,Newark,07105
Rhode Island State Police,Primary state law enforcement agency,RI,Providence,North Scituate,02857
Minnesota Dept of Natural Resources - Enforcement Division,Special jurisdiction,MN,Ramsey,St. Paul,55155
Allentown Police Department,Local police department,PA,Lehigh,Allentown,18101
Bradley County Sheriff's Office,Sheriff's office,TN,Bradley,Cleveland,37311
Middlesex Sheriff's Office,Sheriff's office,MA,Middlesex,Medford,02155
McLennan County Sheriff's Office,Sheriff's office,TX,McLennan,Waco,76701
Vancouver Police Department,Local police department,WA,Clark,Vancouver,98668
Dearborn Police Department,Local police department,MI,Wayne,Dearborn,48126
Brockton Police Department,Local police department,MA,Plymouth,Brockton,02302
North Carolina DMV Enforcement,Special jurisdiction,NC,Wake,Raleigh,27697
Houston I.S.D. Police Dept.,Special jurisdiction,TX,Harris,Houston,77021
Cedar Rapids Police Department,Local police department,IA,Linn,Cedar Rapids,52404
Irvine Police Department,Local police department,CA,Orange,Irvine,92606
Oklahoma County Sheriff's Office,Sheriff's office,OK,Oklahoma,Oklahoma City,73102
Racine Police Department,Local police department,WI,Racine,Racine,53403
Michigan Department of Natural Resources,Special jurisdiction,MI,Ingham,Lansing,48909
Pueblo Police Dept,Local police department,CO,Pueblo,Pueblo,81003
Gulfport Police Department,Local police department,MS,Harrison,Gulfport,39502
Passaic Police,Local police department,NJ,Passaic,Passaic,07055
Kenosha Police Department,Local police department,WI,Kenosha,Kenosha,53140
BART Police Department,Special jurisdiction,CA,Alameda,Oakland,94504
Florence County Sheriff's Office,Sheriff's office,SC,Florence,Effingham,29541
Anderson County Sheriff's Office,Sheriff's office,SC,Anderson,Anderson,29625
Pennsylvania Game Commission - Law Enforcement,Special jurisdiction,PA,Dauphin,Harrisburg,17110
Irvington Police,Local police department,NJ,Essex,Irvington,07111
Killeen Police Department,Local police department,TX,Bell,Killeen,76541
Miami Gardens Police Department,Local police department,FL,Miami-Dade,Miami Gardens,33169
Santa Rosa County Sheriff's Office,Sheriff's office,FL,Santa Rosa,Milton,32572
Newport News (City) Sheriff's Office,Sheriff's office,VA,Newport News City,Newport News,23607
Wisconsin Department of Natural Resources,Special jurisdiction,WI,Dane,Madison,53707
Monroe County Sheriff's Office,Sheriff's office,FL,Monroe,Key West,33040
Rutherford County Sheriff's Office,Sheriff's office,TN,Rutherford,Murfreesboro,37129
St. Bernard Parish Sheriff's Office,Sheriff's office,LA,St. Bernard,Chalmette,70044
Peoria Police Department,Local police department,AZ,Maricopa,Peoria,85345
Edison Police,Local police department,NJ,Middlesex,Edison,08817
Monroe Police Department,Local police department,LA,Ouachita,Monroe,71210
Cabarrus County Sheriff's Office,Sheriff's office,NC,Cabarrus,Concord,28026
Lake County Sheriff's Office,Sheriff's office,IL,Lake,Waukegan,60085
Boca Raton Police Department,Local police department,FL,Palm Beach,Boca Raton,33432
Mississippi Department of Transportation,Special jurisdiction,MS,Hinds,Jackson,39201
Salem Police Department,Local police department,OR,Marion,Salem,97301
Inglewood Police Department,Local police department,CA,Los Angeles,Inglewood,90301
Berkeley Police Department,Local police department,CA,Alameda,Berkeley,94704
West Valley City Police Department,Local police department,UT,Salt Lake,West Valley City,84119
Tyler Police Department,Local police department,TX,Smith,Tyler,75702
New Rochelle Police Department,Local police department,NY,Westchester,New Rochelle,10801
North Little Rock Police Dept.,Local police department,AR,Pulaski,North Little Rock,72114
Hayward Police Department,Local police department,CA,Alameda,Hayward,94544
